R,G,bestF,avgF
3,114,324.0,321.858
3,115,324.0,321.848
3,116,324.0,321.87
3,117,324.0,321.764
3,118,324.0,321.666
3,119,324.0,321.828
3,120,324.0,321.728
3,121,324.0,321.838
3,122,324.0,321.72
3,123,324.0,321.738
3,124,324.0,321.746
3,125,324.0,321.684
3,126,324.0,321.674
3,127,324.0,321.768
3,128,324.0,321.756
3,129,324.0,321.814
3,130,324.0,321.874
3,131,324.0,321.916
3,132,324.0,321.932
3,133,324.0,321.782
3,134,324.0,321.558
3,135,324.0,321.71
3,136,324.0,321.862
3,137,324.0,321.784
3,138,324.0,322.046
3,139,324.0,321.868
3,140,324.0,321.89
3,141,324.0,321.928
3,142,324.0,321.834
3,143,324.0,321.812
3,144,324.0,321.87
3,145,324.0,321.712
3,146,324.0,321.786
3,147,324.0,321.78
3,148,324.0,321.862
3,149,324.0,321.748
3,150,324.0,321.786
3,151,324.0,321.938
3,152,324.0,321.644
3,153,324.0,321.794
3,154,324.0,321.626
3,155,324.0,321.822
3,156,324.0,321.81
3,157,324.0,321.6
3,158,324.0,321.708
3,159,324.0,321.956
3,160,324.0,321.6
3,161,324.0,321.852
3,162,324.0,321.96
3,163,324.0,321.702
3,164,324.0,321.618
3,165,324.0,321.77
3,166,324.0,321.792
3,167,324.0,321.68
3,168,324.0,321.886
3,169,324.0,321.76
3,170,324.0,321.796
3,171,324.0,321.874
3,172,324.0,321.712
3,173,324.0,321.798
3,174,324.0,321.862
3,175,324.0,321.81
3,176,324.0,321.728
3,177,324.0,321.528
3,178,324.0,321.804
3,179,324.0,321.712
3,180,324.0,321.49
3,181,324.0,321.574
3,182,324.0,321.674
3,183,324.0,321.662
3,184,324.0,321.718
3,185,324.0,321.85
3,186,324.0,321.894
3,187,324.0,322.032
3,188,324.0,322.04
3,189,324.0,321.918
3,190,324.0,321.766
3,191,324.0,321.748
3,192,324.0,321.888
3,193,324.0,321.78
3,194,324.0,321.986
3,195,324.0,321.864
3,196,324.0,321.674
3,197,324.0,321.668
3,198,324.0,321.59
3,199,324.0,321.772
4,0,302.0,284.384
4,1,302.0,286.622
4,2,307.0,288.586
4,3,303.0,290.03
4,4,305.0,291.194
4,5,309.0,292.33
4,6,306.0,293.638
4,7,312.0,294.96
4,8,315.0,296.292
4,9,312.0,297.74
4,10,310.0,298.878
4,11,314.0,300.04
4,12,315.0,301.042
4,13,313.0,302.174
