XR,R,G,bestF,avgF
1,14,14,90,0.1820000000000001
1,14,15,90,0.1820000000000001
1,14,16,90,0.1820000000000001
1,14,17,90,0.1820000000000002
1,14,18,90,0.18200000000000013
1,14,19,90,0.18199999999999997
1,14,20,90,0.1820000000000001
1,14,21,90,0.18200000000000008
1,14,22,90,0.18199999999999966
1,14,23,91,0.1820000000000003
1,15,0,87,0.18199999999999988
1,15,1,88,0.18199999999999983
1,15,2,91,0.182
1,16,0,89,0.18200000000000002
1,16,1,88,0.18200000000000002
1,16,2,89,0.18200000000000013
1,16,3,90,0.1819999999999999
1,16,4,90,0.1820000000000001
1,16,5,90,0.18200000000000005
1,16,6,90,0.18199999999999994
1,16,7,90,0.18200000000000008
1,16,8,90,0.18199999999999994
1,16,9,90,0.1820000000000002
1,16,10,90,0.1819999999999999
1,16,11,90,0.18200000000000033
1,16,12,90,0.18200000000000016
1,16,13,90,0.18200000000000008
1,16,14,90,0.18200000000000033
1,16,15,90,0.18199999999999983
1,16,16,90,0.18199999999999994
1,16,17,90,0.18200000000000016
1,16,18,90,0.1820000000000003
1,16,19,90,0.18199999999999988
1,16,20,91,0.1819999999999999
1,17,0,88,0.182
1,17,1,88,0.182
1,17,2,89,0.182
1,17,3,89,0.18200000000000013
1,17,4,91,0.18199999999999986
1,18,0,88,0.182
1,18,1,89,0.18200000000000013
1,18,2,89,0.18199999999999983
1,18,3,89,0.1819999999999999
1,18,4,89,0.182
1,18,5,89,0.1819999999999999
1,18,6,90,0.1820000000000001
1,18,7,90,0.18200000000000008
1,18,8,90,0.18200000000000005
1,18,9,91,0.18200000000000005
1,19,0,88,0.18199999999999986
1,19,1,88,0.18200000000000008
1,19,2,89,0.182
1,19,3,89,0.18200000000000016
1,19,4,89,0.18199999999999994
1,19,5,90,0.18200000000000016
1,19,6,89,0.18200000000000002
1,19,7,90,0.18200000000000008
1,19,8,90,0.182
1,19,9,89,0.18200000000000044
1,19,10,90,0.18199999999999994
1,19,11,90,0.18200000000000002
1,19,12,90,0.18199999999999997
1,19,13,90,0.1820000000000001
1,19,14,90,0.18199999999999994
1,19,15,90,0.18199999999999975
1,19,16,90,0.18200000000000016
1,19,17,90,0.18200000000000024
1,19,18,91,0.1820000000000002
1,20,0,88,0.1820000000000001
1,20,1,88,0.1819999999999999
1,20,2,89,0.1819999999999999
