XR,R,G,bestF,avgF
1,25,2,89.0,82.098
1,25,3,89.0,83.022
1,25,4,90.0,83.77
1,25,5,90.0,84.372
1,25,6,90.0,84.848
1,25,7,90.0,85.34
1,25,8,91.0,85.738
1,26,0,91.0,79.716
1,27,0,88.0,79.726
1,27,1,88.0,81.15
1,27,2,88.0,82.144
1,27,3,88.0,82.998
1,27,4,89.0,83.648
1,27,5,90.0,84.278
1,27,6,90.0,84.7
1,27,7,90.0,85.084
1,27,8,90.0,85.454
1,27,9,91.0,85.766
1,28,0,88.0,79.73
1,28,1,88.0,81.094
1,28,2,88.0,82.216
1,28,3,89.0,83.062
1,28,4,89.0,83.74
1,28,5,89.0,84.3
1,28,6,89.0,84.842
1,28,7,89.0,85.294
1,28,8,91.0,85.682
1,29,0,88.0,79.652
1,29,1,88.0,81.108
1,29,2,88.0,82.174
1,29,3,89.0,83.08
1,29,4,89.0,83.79
1,29,5,90.0,84.376
1,29,6,90.0,84.85
1,29,7,90.0,85.306
1,29,8,90.0,85.662
1,29,9,90.0,85.906
1,29,10,90.0,86.22
1,29,11,90.0,86.446
1,29,12,90.0,86.686
1,29,13,90.0,86.894
1,29,14,90.0,87.076
1,29,15,90.0,87.242
1,29,16,90.0,87.402
1,29,17,90.0,87.53
1,29,18,90.0,87.666
1,29,19,90.0,87.79
1,29,20,90.0,87.884
1,29,21,91.0,87.98
1,30,0,89.0,79.812
1,30,1,89.0,81.252
1,30,2,89.0,82.212
1,30,3,89.0,83.04
1,30,4,89.0,83.744
1,30,5,89.0,84.354
1,30,6,89.0,84.866
1,30,7,89.0,85.302
1,30,8,89.0,85.672
1,30,9,90.0,86.036
1,30,10,90.0,86.258
1,30,11,90.0,86.548
1,30,12,90.0,86.79
1,30,13,90.0,86.982
1,30,14,90.0,87.174
1,30,15,90.0,87.314
1,30,16,90.0,87.448
1,30,17,91.0,87.616
1,31,0,88.0,79.574
1,31,1,88.0,81.04
1,31,2,89.0,82.12
1,31,3,90.0,82.918
1,31,4,90.0,83.506
1,31,5,90.0,84.15
1,31,6,90.0,84.664
1,31,7,90.0,85.126
1,31,8,90.0,85.532
1,31,9,90.0,85.932
1,31,10,90.0,86.178
1,31,11,90.0,86.406
1,31,12,90.0,86.632
1,31,13,90.0,86.81
1,31,14,90.0,86.984
1,31,15,90.0,87.192
1,31,16,91.0,87.342
1,32,0,89.0,79.61
1,32,1,89.0,80.96
1,32,2,89.0,82.14
1,32,3,89.0,82.978
1,32,4,89.0,83.644
1,32,5,89.0,84.128
1,32,6,90.0,84.6
1,32,7,90.0,85.14
1,32,8,90.0,85.51
1,32,9,90.0,85.85
1,32,10,90.0,86.122
1,32,11,90.0,86.412
1,32,12,90.0,86.624
1,32,13,90.0,86.814
1,32,14,90.0,86.96
1,32,15,90.0,87.126
1,32,16,90.0,87.264
1,32,17,90.0,87.434
1,32,18,90.0,87.56
1,32,19,90.0,87.646
1,32,20,90.0,87.762
1,32,21,90.0,87.858
1,32,22,91.0,87.952
1,33,0,89.0,79.72
1,33,1,89.0,81.09
1,33,2,89.0,82.014
1,33,3,89.0,82.832
1,33,4,90.0,83.612
1,33,5,90.0,84.262
1,33,6,90.0,84.734
1,33,7,90.0,85.192
1,33,8,90.0,85.588
1,33,9,90.0,85.92
1,33,10,90.0,86.24
1,33,11,90.0,86.482
1,33,12,90.0,86.682
1,33,13,90.0,86.86
1,33,14,90.0,87.048
1,33,15,90.0,87.174
1,33,16,90.0,87.354
1,33,17,90.0,87.476
1,33,18,90.0,87.616
1,33,19,90.0,87.724
1,33,20,91.0,87.832
1,34,0,88.0,79.6
1,34,1,89.0,81.08
1,34,2,89.0,82.088
1,34,3,89.0,82.96
1,34,4,89.0,83.642
1,34,5,89.0,84.25
1,34,6,89.0,84.668
1,34,7,90.0,85.138
1,34,8,91.0,85.534
1,35,0,88.0,79.31
1,35,1,88.0,80.708
1,35,2,88.0,81.8
1,35,3,89.0,82.674
1,35,4,89.0,83.384
1,35,5,89.0,84.02
1,35,6,89.0,84.582
1,35,7,91.0,85.04
1,36,0,88.0,79.758
1,36,1,88.0,81.276
1,36,2,89.0,82.274
1,36,3,89.0,83.016
1,36,4,89.0,83.79
1,36,5,89.0,84.416
1,36,6,89.0,84.878
1,36,7,89.0,85.278
1,36,8,90.0,85.562
1,36,9,90.0,85.856
1,36,10,90.0,86.162
1,36,11,90.0,86.438
1,36,12,90.0,86.61
1,36,13,91.0,86.826
1,37,0,88.0,79.686
1,37,1,89.0,81.096
1,37,2,89.0,82.266
1,37,3,89.0,83.06
1,37,4,89.0,83.752
1,37,5,89.0,84.46
1,37,6,90.0,84.964
1,37,7,90.0,85.384
1,37,8,90.0,85.724
1,37,9,90.0,86.06
1,37,10,90.0,86.342
1,37,11,90.0,86.63
1,37,12,90.0,86.822
1,37,13,90.0,87.022
1,37,14,90.0,87.162
1,37,15,90.0,87.348
1,37,16,90.0,87.456
1,37,17,90.0,87.592
1,37,18,90.0,87.722
1,37,19,91.0,87.834
1,38,0,88.0,79.464
1,38,1,88.0,80.91
1,38,2,88.0,82.088
1,38,3,89.0,82.952
1,38,4,89.0,83.608
1,38,5,89.0,84.216
1,38,6,90.0,84.664
1,38,7,90.0,85.118
1,38,8,90.0,85.536
1,38,9,90.0,85.944
1,38,10,90.0,86.224
1,38,11,90.0,86.458
1,38,12,91.0,86.674
1,39,0,88.0,79.704
1,39,1,88.0,81.206
1,39,2,89.0,82.198
1,39,3,89.0,83.076
1,39,4,89.0,83.77
1,39,5,91.0,84.318
1,40,0,89.0,79.844
1,40,1,89.0,81.306
1,40,2,89.0,82.356
1,40,3,89.0,83.18
1,40,4,89.0,83.912
1,40,5,89.0,84.464
1,40,6,91.0,84.954
1,41,0,88.0,79.684
1,41,1,88.0,81.174
1,41,2,88.0,82.254
1,41,3,88.0,83.048
1,41,4,89.0,83.782
1,41,5,89.0,84.374
1,41,6,89.0,84.93
1,41,7,90.0,85.298
1,41,8,90.0,85.598
1,41,9,90.0,85.98
1,41,10,90.0,86.252
1,41,11,90.0,86.462
1,41,12,90.0,86.728
1,41,13,90.0,86.882
1,41,14,90.0,87.06
1,41,15,90.0,87.214
1,41,16,90.0,87.338
1,41,17,90.0,87.492
1,41,18,90.0,87.62
1,41,19,90.0,87.734
1,41,20,90.0,87.856
1,41,21,90.0,87.94
1,41,22,90.0,88.016
1,41,23,90.0,88.082
1,41,24,91.0,88.146
1,42,0,89.0,79.708
